period,date,r1,r2,r3,r4,r5,b1,b2,sales,prize_pool,first_prize_count,first_prize_amount,second_prize_count,second_prize_amount
21118,2021-10-16,14,17,18,28,34,02,03,302397723,1146057645,4,10000000,98,148407
21117,2021-10-13,11,18,21,22,33,05,06,279505700,1124390424,8,8355835,169,61934
21116,2021-10-11,04,25,28,29,35,03,11,279695241,1151852869,2,10000000,73,190970
21115,2021-10-09,08,13,19,20,29,06,10,299770302,1111593015,2,10000000,114,112841
21114,2021-10-06,08,09,13,29,30,01,11,283727610,1081182210,1,10000000,110,108970
21113,2021-09-29,17,18,25,27,28,04,08,283440028,1035393331,6,9008492,139,84274
21112,2021-09-27,18,21,22,23,35,11,12,283298709,1058537381,1,10000000,61,283977
21111,2021-09-25,07,08,15,19,28,08,09,305345840,995038782,12,7142456,232,45015
21110,2021-09-22,11,14,29,31,32,11,12,276544919,1046721833,6,9131551,75,189758
21109,2021-09-20,03,04,07,27,31,06,09,265547489,1073585145,4,10000000,83,121850
21108,2021-09-18,05,19,22,26,35,02,06,303354020,1069829501,8,8614284,69,198372
21107,2021-09-15,03,05,13,20,25,07,11,281751709,1105541509,9,7946101,70,199664
21106,2021-09-13,02,13,14,32,34,02,12,276794901,1149093887,0,0,97,149583
21105,2021-09-11,07,10,11,17,18,04,09,304015740,1087468356,4,10000000,117,89835
21104,2021-09-08,23,25,26,30,33,03,11,286479253,1086226837,2,10000000,71,228429
21103,2021-09-06,04,10,23,30,31,05,11,282429778,1037062397,1,10000000,61,232323
21102,2021-09-04,02,08,11,16,23,02,07,305869819,982320278,13,7523067,117,111145
21101,2021-09-01,13,18,19,27,32,06,11,281242026,1043300674,6,9675934,101,105827
21100,2021-08-30,07,11,23,26,28,02,07,280471793,1059494717,3,10000000,96,110807
21099,2021-08-28,15,19,27,28,30,03,04,303058009,1062893864,1,10000000,130,128865
21098,2021-08-25,02,07,21,27,33,07,09,276951852,1007650453,2,10000000,62,202870
21097,2021-08-23,11,26,30,31,33,03,10,272897259,975519759,1,10000000,45,293323
21096,2021-08-21,07,08,10,20,21,01,05,297348639,927073812,10,8465507,204,69310
21095,2021-08-18,10,15,19,20,30,11,12,279549610,962561875,2,10000000,116,114636
21094,2021-08-16,05,06,24,27,33,05,12,275141551,931384310,6,9900472,77,173225
21093,2021-08-14,20,25,27,28,31,08,11,302609762,948527899,2,10000000,66,239598
21092,2021-08-11,12,14,27,28,34,03,07,281386147,907549564,2,10000000,108,111939
21091,2021-08-09,01,04,10,21,29,03,05,272675404,877764456,5,10000000,155,61811
21090,2021-08-07,06,07,19,26,32,06,12,289448960,880472277,2,10000000,236,46324
21089,2021-08-04,01,17,24,28,35,10,12,269906690,851200235,3,10000000,48,309133
21088,2021-08-02,02,14,31,34,35,01,07,264720425,822562305,2,9148546,63,197930
21087,2021-07-31,10,14,15,25,28,03,10,290446990,797251485,6,9400653,177,68131
21086,2021-07-28,02,03,07,16,17,06,10,272160233,822607828,1,10000000,71,176586
21085,2021-07-26,01,12,15,26,35,10,11,270848072,775634441,6,7421868,99,137086
21084,2021-07-24,02,10,14,30,33,06,09,290591822,763493931,6,6943989,130,92500
21083,2021-07-21,07,09,11,26,35,01,08,272635093,759158453,6,7329020,84,148138
21082,2021-07-19,01,14,22,29,33,03,10,278896069,747230175,11,7463880,89,159258
21081,2021-07-17,05,13,24,29,35,07,08,301662622,807325943,2,10000000,70,185428
21080,2021-07-14,15,16,20,29,30,06,10,276105107,767631447,8,8006507,118,91718
21079,2021-07-12,06,14,19,26,33,08,11,279520279,802121550,6,9906345,75,172047
21078,2021-07-10,02,08,17,19,25,01,05,302960803,821042099,3,9605842,91,165115
21077,2021-07-07,02,06,09,21,25,06,08,279629097,789285714,4,7575647,64,185350
21076,2021-07-05,06,13,22,25,26,02,04,281760059,775457206,2,9596268,129,92526
21075,2021-07-03,06,14,15,17,20,01,05,306666791,752135503,2,10000000,51,294104
21074,2021-06-30,11,14,18,20,25,03,07,289189592,700603888,1,10000000,84,158926
21073,2021-06-28,08,12,14,20,24,06,10,280274335,657298888,2,10000000,101,134102
21072,2021-06-26,02,03,15,22,26,03,11,303912550,627008381,3,9518742,123,117028
21071,2021-06-23,08,11,16,29,35,01,04,285731730,596211840,9,6287890,79,192242
21070,2021-06-21,03,20,21,22,24,06,12,289443325,612658365,1,10000000,59,265807
21069,2021-06-19,01,03,24,32,33,04,06,314771219,554239484,4,8622290,81,183547
21068,2021-06-16,02,20,21,26,30,02,10,291893269,527817203,13,6004435,115,108554
21067,2021-06-14,01,04,22,23,34,08,09,281023856,558289398,1,10000000,59,254020
21066,2021-06-12,24,26,29,34,35,09,11,311082841,506581578,12,5981636,317,38691
21065,2021-06-09,23,25,30,31,35,07,08,297780859,539311034,6,6498494,76,188581
21064,2021-06-07,01,17,19,32,34,06,10,294413689,546378196,2,10000000,60,229075
21063,2021-06-05,05,09,14,29,30,09,11,320996162,500754392,9,6029136,260,39778
21062,2021-06-02,04,06,23,32,34,05,07,302275847,525343538,5,8059793,71,216424
21061,2021-05-31,15,19,20,26,32,04,07,304392970,502877803,7,6484687,100,115599
21060,2021-05-29,09,13,25,31,33,03,07,328214576,509405220,8,5714074,105,2430
21059,2021-05-26,04,16,27,28,35,02,09,310375326,542212080,12,5810333,146,68435
21058,2021-05-24,13,15,17,23,34,01,11,341604964,584612592,2,10000000,53,313479
21057,2021-05-22,05,07,19,20,28,05,07,364226316,527921742,39,5176735,306,25278
21056,2021-05-19,03,11,16,21,26,09,10,339616577,789092339,9,8577701,100,152004
21055,2021-05-17,03,06,10,11,24,10,11,340947213,832841055,5,10000000,100,156924
21054,2021-05-15,03,06,17,20,25,03,09,372706677,830717938,5,10000000,112,150382
21053,2021-05-12,03,06,15,17,35,07,11,352261603,804585433,5,7659176,115,108825
21052,2021-05-10,02,11,13,14,30,09,12,346174575,786688797,6,8348700,99,159923
21051,2021-05-08,01,04,14,16,19,03,04,378483472,758421416,9,6297261,198,67730
21050,2021-05-05,09,22,32,33,35,05,10,332629347,776495377,7,9324231,106,126690
21049,2021-05-03,01,10,22,23,25,02,12,318983261,804858111,2,10000000,95,171835
21048,2021-05-01,04,07,17,21,27,10,12,361695321,743586048,11,7492512,215,65650
21047,2021-04-28,01,06,09,25,33,04,08,361812479,812065710,2,10000000,74,236848
21046,2021-04-26,06,08,12,14,18,06,08,359217248,748366613,12,5909252,113,94691
21045,2021-04-24,01,04,06,11,19,07,09,393747066,786177311,3,9103239,105,157653
21044,2021-04-21,06,18,31,33,35,10,11,363597797,748920582,11,6089993,177,76352
21043,2021-04-19,07,12,17,19,34,01,10,360667332,782390745,14,6968132,173,81926
21042,2021-04-17,09,15,20,23,29,04,05,393684367,871261627,4,10000000,156,105679
21041,2021-04-14,02,05,09,11,32,04,09,359992265,825740751,9,7739792,139,76002
21040,2021-04-12,02,03,09,16,19,03,07,359580080,870795060,8,8547328,136,99892
21039,2021-04-10,04,12,14,21,35,02,11,392788008,909367812,7,10000000,94,200165
21038,2021-04-07,09,11,20,29,32,01,07,279043760,915135531,17,6113204,199,51254
21037,2021-04-05,10,21,27,29,33,04,12,265069172,1031553232,8,8094047,69,188644
21036,2021-04-03,08,17,25,28,33,07,11,293009078,1070761233,6,9886405,277,45263
21035,2021-03-31,05,11,16,30,32,03,04,282083604,1087964691,6,10000000,74,184089
21034,2021-03-29,08,10,14,25,34,07,08,287989728,1088179028,0,0,71,194355
21033,2021-03-27,01,03,05,30,32,01,05,315951286,1022165135,5,10000000,68,246340
21032,2021-03-24,01,11,14,34,35,07,10,294833370,1024512096,3,10000000,98,159729
21031,2021-03-22,01,04,19,20,34,03,05,291035602,1003234237,27,5391526,430,20000
21030,2021-03-20,18,23,25,26,32,02,07,310047645,1159086523,6,9376324,62,244363
21029,2021-03-17,02,06,10,32,33,04,07,291997028,1184579106,3,10000000,256,44429
21028,2021-03-15,02,03,05,17,29,04,10,290397846,1148168180,5,10000000,114,114974
21027,2021-03-13,09,21,22,26,30,04,12,300185659,1137674691,10,7998232,179,65296
21026,2021-03-10,07,11,20,24,27,01,11,276425219,1173541384,2,10000000,70,166283
21025,2021-03-08,17,18,23,30,31,10,12,276142896,1148953396,1,10000000,50,307329
21024,2021-03-06,11,14,21,24,31,02,10,290054173,1099396871,3,10000000,218,47504
21023,2021-03-03,07,09,13,16,32,02,09,269669045,1090709659,2,10000000,70,187612
21022,2021-03-01,02,12,22,30,33,02,04,267988268,1060440510,2,10000000,51,302580
21021,2021-02-27,16,18,29,33,35,09,12,292083963,1011996707,3,10000000,74,185332
21020,2021-02-24,07,21,22,30,33,04,06,266285933,986653276,4,10000000,176,52410
21019,2021-02-22,01,12,13,28,29,03,04,268699087,989638019,1,10000000,134,76551
21018,2021-02-20,02,20,23,26,34,05,10,289120482,946984257,6,10000000,75,174392
21017,2021-02-08,17,21,26,29,32,02,07,335358205,961686810,5,10000000,75,221277
21016,2021-02-06,08,09,10,19,34,01,02,311054206,937156413,6,10000000,82,186837
21015,2021-02-03,04,08,17,19,25,01,07,272319625,945589061,10,6963705,259,37150
21014,2021-02-01,07,13,20,27,29,04,09,268530082,997073349,3,10000000,99,114748
21013,2021-01-30,21,27,28,30,34,08,11,293461597,975405451,4,10000000,59,281489
21012,2021-01-27,06,12,20,23,33,01,09,267411208,942151519,1,10000000,93,124142
21011,2021-01-25,06,09,11,14,21,01,03,264730145,903373114,2,10000000,299,35220
21010,2021-01-23,01,05,16,22,34,08,11,292800978,886344173,4,10000000,98,153518
21009,2021-01-20,01,03,20,29,32,05,12,270385175,865327652,1,10000000,103,112661
21008,2021-01-18,05,19,20,27,33,03,08,267627406,821084248,10,8342623,73,172279
21007,2021-01-16,05,23,30,34,35,08,10,290613639,854868061,3,10000000,160,81104
21006,2021-01-13,04,22,25,28,35,04,05,273199546,830578066,1,10000000,67,176510
21005,2021-01-11,03,07,10,12,35,03,05,270292542,782127364,1,10000000,77,188779
21004,2021-01-09,05,10,17,23,28,02,08,287870674,742165173,14,6781783,252,40037
21003,2021-01-06,07,21,28,31,35,04,10,271582391,811003039,6,10000000,66,182605
21002,2021-01-04,02,16,26,31,34,09,11,278003685,825914620,3,10000000,68,223170
21001,2021-01-02,02,06,12,19,33,08,09,301287873,801248467,2,10000000,103,149825
20134,2020-12-30,08,11,13,22,25,04,07,279450044,763061054,8,7660983,135,70426
20133,2020-12-28,11,24,26,33,35,08,09,278817951,802371363,2,10000000,79,125950
20132,2020-12-26,03,15,16,17,21,07,10,305220768,772089653,7,8732884,100,139407
20131,2020-12-23,08,25,27,29,35,02,03,276280604,804095086,4,7836812,84,157335
20130,2020-12-21,16,17,23,26,32,02,12,275873752,788606650,7,8580412,62,191821
20129,2020-12-19,10,22,27,33,34,01,11,299215239,816759357,2,10000000,62,265548
20128,2020-12-16,09,12,13,26,33,04,10,274958597,761816706,3,10000000,55,249603
20127,2020-12-14,01,04,17,18,26,03,10,276778645,723320954,5,6788183,51,246627
20126,2020-12-12,01,04,09,22,28,04,12,298548217,721797951,4,8293025,96,151985
20125,2020-12-09,01,02,03,08,22,01,04,275346986,699959034,2,9473073,73,188841
20124,2020-12-07,11,15,24,26,35,04,05,278064291,671260146,3,8940268,42,398755
20123,2020-12-05,01,07,11,15,21,04,11,304863915,641696961,5,7560029,163,69634
20122,2020-12-02,08,19,29,34,35,06,11,281651508,629576538,10,5812539,145,50433
20121,2020-11-30,09,17,27,28,35,03,08,278202603,658127792,12,5888553,96,115346
20120,2020-11-28,05,25,26,30,35,04,10,301311242,694960351,6,7151477,92,157223
20119,2020-11-25,14,22,24,28,32,07,08,274272049,685541779,5,6488585,63,175287
20118,2020-11-23,01,09,15,30,33,04,09,275653893,691143211,3,10000000,59,243507
20117,2020-11-21,07,19,20,23,24,05,10,295676112,657082924,6,6533726,125,82936
20116,2020-11-18,08,10,12,16,22,03,09,281698423,661279587,7,6651639,73,166572
20115,2020-11-16,01,09,18,19,23,01,09,284014718,663087702,13,5858135,161,61470
20114,2020-11-14,10,12,21,24,30,03,07,311221154,699754233,6,7416283,82,181463
20113,2020-11-11,06,14,18,28,33,02,05,281010096,686105119,5,7771898,121,105724
20112,2020-11-09,08,11,13,30,32,02,06,278836720,670912594,2,10000000,113,108341
20111,2020-11-07,05,07,09,20,28,02,07,305503745,633996339,4,7667800,110,102072
20110,2020-11-04,11,16,20,21,28,05,11,282491639,620860563,6,6966119,83,132491
20109,2020-11-02,02,20,21,23,32,06,12,278965485,616088689,1,10000000,66,193802
20108,2020-10-31,02,03,06,07,33,08,09,304680045,565897074,13,5881296,80,164519
20107,2020-10-28,01,04,13,17,28,03,07,282777346,611359962,14,5409214,193,33343
20106,2020-10-26,02,03,11,14,27,04,10,277207977,676948324,6,7175347,261,47698
20105,2020-10-24,03,08,12,13,22,04,12,301070175,669097275,4,8474471,91,143546
20104,2020-10-21,03,12,23,26,30,04,07,276928873,644732638,35,5543834,119,93553
20103,2020-10-19,07,12,13,19,23,02,08,273609545,929277059,7,10000000,182,118501
20102,2020-10-17,07,11,18,20,29,09,12,290224663,965450648,2,10000000,170,67717
20101,2020-10-14,03,04,05,09,34,07,09,270291174,942455528,5,10000000,109,118501
20100,2020-10-12,04,05,08,22,33,07,10,274948701,936240580,4,10000000,69,161287
20099,2020-10-10,02,03,11,15,27,04,12,301168262,913910111,7,9276156,177,73483
20098,2020-10-07,04,09,15,24,35,04,10,264989928,936316143,7,8375237,195,49312
20097,2020-10-05,05,25,27,30,34,06,12,225919953,963061001,8,8142371,78,118681
20096,2020-09-30,07,08,10,25,28,03,11,282876912,988983176,3,10000000,68,208082
20095,2020-09-28,02,18,25,26,32,02,07,265863829,971831929,5,10000000,113,91697
20094,2020-09-26,04,06,07,08,16,02,08,290322382,986269654,1,10000000,113,107925
20093,2020-09-23,06,14,25,27,28,04,11,279991779,939867946,1,10000000,72,200445
20092,2020-09-21,08,11,17,31,35,07,11,269838213,893054932,3,10000000,62,204135
20091,2020-09-19,12,16,20,23,31,05,12,293820005,863707287,2,10000000,82,178853
20090,2020-09-16,05,06,27,28,29,11,12,280443686,820939644,18,6420892,225,48126
20089,2020-09-14,13,16,20,22,27,01,02,274438340,910070806,2,10000000,44,336720
20088,2020-09-12,02,07,23,26,35,01,12,297982352,868351367,3,10000000,105,136300
20087,2020-09-09,01,04,20,23,29,04,08,285933804,840146318,2,10000000,55,272660
20086,2020-09-07,08,11,15,20,28,04,10,273366854,801056869,6,10000000,95,133505
20085,2020-09-05,03,04,11,15,28,02,03,295847488,817700325,19,5878445,392,20000
20084,2020-09-02,02,10,20,24,31,06,12,281668774,917779485,6,10000000,70,196210
20083,2020-08-31,01,02,17,32,34,04,09,271235594,923726886,5,10000000,56,298130
20082,2020-08-29,02,11,12,21,34,04,08,291838192,913232816,7,8556891,185,63356
20081,2020-08-26,01,13,15,32,35,08,10,266594465,941509338,2,10000000,44,319505
20080,2020-08-24,03,06,22,24,25,09,10,263844694,898072957,8,7392120,129,80860
20079,2020-08-22,04,16,24,29,35,02,12,292614622,941997905,5,10000000,78,187470
20078,2020-08-19,14,18,20,28,34,10,11,269949871,932733357,2,10000000,63,235153
20077,2020-08-17,17,23,28,29,32,01,03,270568843,890203888,0,0,65,213251
20076,2020-08-15,01,08,18,28,30,10,12,294292139,827752078,7,9172500,184,61724
20075,2020-08-12,02,09,10,21,35,01,07,271697395,848526594,4,10000000,59,217584
20074,2020-08-10,03,09,10,12,21,04,11,270785594,829434509,8,8240826,166,66605
20073,2020-08-08,04,10,12,23,27,08,09,298601828,857463717,7,9742502,129,91542
20072,2020-08-05,11,15,18,20,27,05,06,270501710,875748466,22,5677396,212,28888
20071,2020-08-03,01,12,16,28,33,03,12,269034062,992189045,7,8759262,75,171808
20070,2020-08-01,01,22,30,31,32,04,12,294678230,1021716141,2,10000000,47,319597
20069,2020-07-29,05,07,26,30,31,07,10,276270699,984516773,3,10000000,73,160051
20068,2020-07-27,15,20,23,26,33,02,08,275720877,963387967,5,10000000,110,110818
20067,2020-07-25,01,08,14,16,28,04,10,298070364,969682196,1,10000000,54,285608
20066,2020-07-22,06,14,21,34,35,03,10,275984921,918419472,4,10000000,56,230559
20065,2020-07-20,13,15,26,32,33,05,07,275339410,905602072,2,10000000,84,156336
20064,2020-07-18,05,10,23,34,35,01,11,306180017,864409230,3,10000000,75,195825
20063,2020-07-15,11,18,20,21,33,06,07,285313485,828120323,3,10000000,48,284622
20062,2020-07-13,01,05,14,23,31,02,07,281547455,811151382,5,10000000,66,144275
20061,2020-07-11,07,08,12,21,26,01,06,311505452,823114481,5,10000000,133,106145
20060,2020-07-08,12,14,25,34,35,03,12,293094526,840309833,7,10000000,109,112902
20059,2020-07-06,01,15,22,28,32,03,11,288214989,845222708,2,10000000,72,191667
20058,2020-07-04,01,15,19,26,27,05,10,311403757,801073308,5,9421778,137,80612
20057,2020-07-01,17,20,21,22,31,02,08,290961693,819749458,2,10000000,93,120838
20056,2020-06-29,03,11,25,29,34,03,06,293376714,788369268,2,10000000,77,185738
20055,2020-06-27,03,04,12,18,34,10,12,323557054,733955513,0,0,69,245252
20054,2020-06-24,11,14,15,19,20,03,07,316196813,652393349,8,6499570,109,119965
20053,2020-06-22,02,15,18,21,27,03,06,321021775,660208305,2,10000000,72,226197
20052,2020-06-20,09,11,26,28,35,06,07,346849702,617935816,1,10000000,109,139182
20051,2020-06-17,02,07,09,19,33,01,07,316737986,546514269,3,9837277,135,83927
20050,2020-06-15,03,14,16,22,34,02,06,319364735,519429958,3,10000000,47,338385
20049,2020-06-13,03,11,15,22,30,08,10,346562943,466168612,7,6767678,175,79868
20048,2020-06-10,03,09,10,15,16,07,09,326341634,464779671,6,6920039,92,145440
20047,2020-06-08,04,18,27,28,30,03,10,329244489,459553012,5,7088857,83,168127
20046,2020-06-06,15,24,27,30,34,04,12,356817551,450033830,2,10000000,93,167603
20045,2020-06-03,02,09,16,23,27,03,08,331645185,397099392,56,5129137,351,22068
20044,2020-06-01,01,03,22,28,30,02,05,326278357,793042322,4,7648434,79,159905
20043,2020-05-30,12,13,17,31,32,01,06,361785294,775887380,2,10000000,64,247923
20042,2020-05-27,03,04,05,11,22,05,06,329246559,712471084,73,5024350,1424,20000
20041,2020-05-25,07,13,20,29,34,04,07,323641936,1240028369,10,8174807,85,164840
20040,2020-05-23,02,17,20,28,29,01,07,350219331,1290293247,3,10000000,99,155828
20039,2020-05-20,01,05,15,22,31,02,09,327734435,1252426576,2,10000000,82,200203
20038,2020-05-18,04,15,20,22,24,01,09,321713613,1189804473,1,10000000,68,235783
20037,2020-05-16,01,04,10,11,14,02,05,347550329,1119552352,11,8423230,163,97469
20036,2020-05-13,01,05,11,12,26,02,07,329608250,1165797219,6,10000000,99,152093
20035,2020-05-11,10,11,22,26,28,02,04,322907375,1181117012,2,10000000,80,190608
20034,2020-05-09,11,13,20,27,31,02,04,363231403,1119481106,8,9891637,65,286379
20033,2020-05-06,07,19,20,31,34,05,08,344128096,1148417852,6,10000000,96,143208
20032,2020-05-04,02,03,09,16,32,03,04,315030186,1167303638,19,5845668,169,37815
20031,2020-05-02,01,02,05,15,21,04,05,348801433,1285895989,7,9916051,102,134204
20030,2020-04-29,01,08,17,27,30,05,06,336512111,1308815502,6,9047466,154,71986
20029,2020-04-27,11,14,17,22,30,07,09,274347215,1333962953,4,10000000,100,122739
20028,2020-04-25,04,05,28,34,35,01,08,297809663,1319654037,13,6757551,201,60732
20027,2020-04-22,04,07,20,25,32,03,09,267026928,1403985231,6,9243858,76,168946
20026,2020-04-20,03,15,26,32,34,08,12,267647668,1423923368,7,9777969,97,148263
20025,2020-04-18,02,14,21,22,26,05,07,290980102,1442053199,5,10000000,81,158628
20024,2020-04-15,03,05,06,24,30,03,07,274944706,1437049654,4,9810302,143,56756
20023,2020-04-13,04,11,23,26,30,01,06,266526290,1448119562,5,10000000,76,144157
20022,2020-04-11,04,14,20,28,35,02,03,279808308,1459915831,1,10000000,85,132699
20021,2020-04-08,10,12,24,31,33,04,09,255667147,1418256965,9,8087069,129,94599
20020,2020-04-06,08,10,12,26,32,05,09,229103689,1452932119,3,10000000,76,130721
20019,2020-04-04,01,12,22,23,33,01,12,251571436,1445697714,4,10000000,65,206046
20018,2020-04-01,09,14,16,24,26,04,12,230454828,1443693869,0,0,69,160807
20017,2020-03-30,01,06,07,09,10,02,11,220830654,1394320153,6,8730653,150,56374
20016,2020-03-28,04,08,19,31,35,01,02,235862341,1414113824,3,10000000,61,217312
20015,2020-03-25,01,07,23,24,26,03,07,213742602,1389102103,2,10000000,42,280807
20014,2020-03-23,03,07,09,17,21,03,06,203414775,1368119121,4,8706884,149,44032
20013,2020-03-21,01,04,05,11,35,03,09,210216729,1382155014,9,7976833,45,278794
20012,2020-03-18,01,06,18,32,34,01,03,180512101,1417484530,2,10000000,35,268738
20011,2020-03-16,02,13,19,22,23,02,07,169402246,1392702843,5,9096183,58,158385
20010,2020-03-14,01,08,13,24,32,02,09,193022506,1408398438,6,8599471,70,114765
20009,2020-01-20,19,29,31,34,35,06,10,306054010,1426304213,6,10000000,102,152272
20008,2020-01-18,14,17,19,24,32,01,06,312604530,1436007520,4,10000000,57,344283
20007,2020-01-15,02,10,19,24,30,05,08,275894030,1413642398,12,7162433,131,96229
20006,2020-01-13,09,22,25,31,32,08,12,274628114,1474266993,1,10000000,106,118123
20005,2020-01-11,06,10,33,34,35,01,03,306743622,1430492845,7,10000000,198,70540
20004,2020-01-08,17,20,21,29,30,05,09,279672368,1439766324,4,10000000,129,80526
20003,2020-01-06,23,25,26,30,34,03,07,284089915,1441800541,0,0,52,333491
20002,2020-01-04,03,07,18,25,30,02,07,314707905,1369911815,6,9908421,152,89594
20001,2020-01-01,17,25,26,32,34,04,07,290178486,1387021574,2,10000000,95,145642
19150,2019-12-30,07,11,12,16,33,05,07,296427458,1347226023,19,6819667,115,114036
19149,2019-12-28,01,02,07,33,35,06,10,317712338,1422864761,0,0,85,177509
19148,2019-12-25,03,04,07,11,30,08,09,289764338,1357789883,5,10000000,91,119722
19147,2019-12-23,09,12,19,22,33,07,08,291104886,1365277988,6,9568706,101,108661
19146,2019-12-21,10,11,26,33,34,01,06,314007833,1381880354,15,6697152,92,159122
19145,2019-12-18,05,09,19,22,32,03,05,296865423,1484740051,5,10000000,188,231444
19144,2019-12-16,02,05,20,28,31,02,11,293207584,1542864127,5,10000000,153,220193
19143,2019-12-14,04,22,23,24,32,06,12,319892573,1598566973,5,10000000,94,657567
19142,2019-12-11,03,04,26,29,33,06,07,299921169,1627275280,3,10000000,71,705678
19141,2019-12-09,02,10,20,21,35,01,12,300500952,1655481325,3,10000000,135,378250
19140,2019-12-07,03,07,08,25,27,03,05,316440627,1668432904,7,10000000,118,334833
19139,2019-12-04,01,05,07,08,11,06,10,289227664,1732644632,7,10000000,178,175769
19138,2019-12-02,04,06,07,20,29,02,04,292541823,1807797395,2,10000000,164,319280
19137,2019-11-30,03,05,12,13,26,07,12,312773222,1811011407,4,10000000,185,222837
19136,2019-11-27,03,16,20,26,29,03,09,286999222,1836618362,9,10000000,113,364978
19135,2019-11-25,04,05,19,25,26,01,11,285312173,1952350514,4,10000000,87,544581
19134,2019-11-23,05,06,07,14,17,10,11,315940098,1982686527,4,10000000,130,414036
19133,2019-11-20,03,12,24,27,34,01,12,307662290,2012422203,3,10000000,89,644929
19132,2019-11-18,03,05,06,13,18,10,12,302574925,2031322367,5,10000000,101,519792
19131,2019-11-16,05,06,14,27,29,06,10,329976108,2069940752,3,10000000,105,522131
19130,2019-11-13,01,13,20,21,26,04,10,303550489,2080589741,3,10000000,83,556878
19129,2019-11-11,10,13,18,23,30,06,12,295027665,2091270342,6,10000000,167,245350
19128,2019-11-09,20,21,25,34,35,03,12,322813843,2137001004,2,10000000,85,699443
19127,2019-11-06,04,07,08,11,16,09,11,300600530,2135181960,5,10000000,110,377119
19126,2019-11-04,05,09,16,18,30,04,07,276082640,2177652383,10,10000000,150,205967
19125,2019-11-02,05,08,09,14,34,02,05,298679570,2290847002,4,10000000,75,755654
19124,2019-10-30,07,17,26,27,30,06,12,275959410,2320815917,2,10000000,99,413450
19123,2019-10-28,03,13,15,26,30,05,12,273397306,2325632751,6,10000000,100,379897
19122,2019-10-26,05,19,25,31,33,10,11,289532078,2388431796,1,10000000,65,800691
19121,2019-10-23,01,02,03,07,17,04,10,276665665,2389042428,3,10000000,73,661861
19120,2019-10-21,06,15,17,22,25,01,09,275763665,2417531958,4,10000000,97,417655
19119,2019-10-19,03,06,09,23,34,02,11,296906555,2450995410,4,10000000,83,611893
19118,2019-10-16,02,03,13,19,26,02,03,272734633,2505219108,2,10000000,101,406469
19117,2019-10-14,01,18,21,25,35,07,08,271077215,2510705015,4,10000000,66,806808
19116,2019-10-12,02,10,16,21,23,02,12,297819968,2540591128,4,10000000,87,770679
19115,2019-10-09,01,18,21,28,32,05,12,286493206,2576114778,6,10000000,105,498979
19114,2019-09-30,03,05,07,20,23,04,11,293032964,2618860320,3,10000000,75,710140
19113,2019-09-28,03,11,27,34,35,01,02,311100525,2630473137,2,10000000,96,620026
19112,2019-09-25,03,10,16,21,33,05,06,280910162,2636508288,13,10000000,573,44488
19111,2019-09-23,06,15,20,23,27,08,10,278838967,2773019554,4,10000000,91,523219
19110,2019-09-21,01,19,23,24,30,04,05,304148169,2796874880,3,10000000,85,625724
19109,2019-09-18,02,07,08,20,25,11,12,280419217,2807779066,1,10000000,89,449539
19108,2019-09-16,24,27,28,31,34,04,08,284940682,2810944267,2,10000000,55,818390
19107,2019-09-14,05,09,19,27,35,02,03,293549724,2814001475,4,10000000,181,197483
19106,2019-09-11,05,08,10,32,35,02,10,277501958,2849290614,1,10000000,106,517027
19105,2019-09-09,01,04,09,14,17,01,06,276792452,2849032904,2,10000000,151,286226
19104,2019-09-07,02,07,19,22,28,03,05,307889648,2854646726,3,10000000,179,279809
19103,2019-09-04,05,12,22,27,32,04,07,282169207,2866542333,9,10000000,238,115804
19102,2019-09-02,05,10,15,19,31,03,06,294439142,2971122369,1,10000000,180,238519
19101,2019-08-31,05,11,18,19,27,05,06,317232101,2965514601,6,10000000,264,131997
19100,2019-08-28,05,08,12,19,21,06,11,285699001,3013571194,13,10000000,228,97237
19099,2019-08-26,04,06,18,27,33,07,09,264966797,3199540847,19,10000000,345,60832
19098,2019-08-24,13,15,17,19,22,03,04,283264604,3413905650,7,10000000,87,561592
19097,2019-08-21,10,17,20,30,35,10,12,265934781,3499337220,3,10000000,51,935083
19096,2019-08-19,02,12,22,23,27,02,06,264716811,3519455538,1,10000000,96,527784
19095,2019-08-17,03,12,17,19,31,02,06,285599790,3519353885,7,10000000,114,383903
19094,2019-08-14,01,12,14,26,27,07,09,268760225,3605111819,1,10000000,57,786871
19093,2019-08-12,16,17,26,29,35,01,07,263591081,3598377683,9,10000000,113,284575
19092,2019-08-10,02,11,15,27,30,02,05,282457933,3693574033,4,10000000,115,422984
19091,2019-08-07,04,13,20,26,28,03,12,269521488,3724322762,1,10000000,68,731621
19090,2019-08-05,13,19,28,30,33,02,12,267395452,3716328636,2,10000000,47,1057313
19089,2019-08-03,09,14,18,33,34,03,12,297660456,3719449575,4,10000000,83,614487
19088,2019-07-31,01,05,18,27,33,06,08,270234407,3755102164,7,10000000,76,627469
19087,2019-07-29,05,06,18,19,27,07,12,265658108,3816395392,10,10000000,144,225581
19086,2019-07-27,05,15,16,28,31,02,07,288257269,3904840978,15,10000000,266,103760
19085,2019-07-24,04,05,06,15,26,08,11,266144001,4061417388,3,10000000,97,441006
19084,2019-07-22,12,23,25,34,35,01,07,267484415,4085660246,2,10000000,88,639090
19083,2019-07-20,17,24,26,28,32,07,09,292813014,4096211433,2,10000000,108,425427
