period,date,front1,front2,front3,front4,front5,back1,back2
26042,2026-04-20,02,07,13,19,24,03,08
26041,2026-04-18,24,25,27,29,34,02,06
26040,2026-04-15,06,12,13,21,34,08,09
26039,2026-04-13,09,11,20,26,27,06,09
26038,2026-04-11,08,17,21,33,35,06,07
26037,2026-04-08,07,12,13,28,32,06,08
26036,2026-04-06,04,07,16,26,32,05,08
26035,2026-04-04,02,22,30,33,34,08,12
26034,2026-04-01,11,12,25,26,27,08,11
26033,2026-03-30,03,05,07,09,18,02,10
26032,2026-03-28,03,04,19,26,32,01,12
26031,2026-03-25,06,08,22,29,34,05,07
26030,2026-03-23,02,13,22,28,34,05,12
26029,2026-03-21,03,05,17,33,35,05,07
26028,2026-03-18,15,27,29,30,34,01,10
26027,2026-03-16,09,10,11,12,16,01,11
26026,2026-03-14,10,11,22,26,32,01,08
26025,2026-03-11,03,15,24,28,29,03,07
26024,2026-03-09,02,04,08,10,21,09,12
26023,2026-03-07,09,25,26,27,28,01,08
26022,2026-03-04,05,09,10,18,26,05,06
26021,2026-03-02,05,08,12,14,17,04,05
26020,2026-02-28,01,10,21,23,29,10,12
26019,2026-02-25,12,13,14,16,31,04,12
26018,2026-02-11,09,11,19,30,35,01,12
26017,2026-02-09,04,05,10,23,31,07,12
26016,2026-02-07,08,09,12,19,24,01,06
26015,2026-02-04,01,04,10,13,17,03,11
26014,2026-02-02,16,18,23,34,35,01,06
26013,2026-01-31,03,05,06,23,26,01,04
26012,2026-01-28,01,02,09,22,25,01,06
26011,2026-01-26,14,21,23,29,33,02,10
26010,2026-01-24,02,03,13,18,26,02,09
26009,2026-01-21,05,12,13,14,33,05,08
26008,2026-01-19,03,06,17,21,33,05,11
26007,2026-01-17,01,03,13,20,26,03,10
26006,2026-01-14,05,12,18,23,35,06,12
26005,2026-01-12,02,04,16,23,35,06,11
26004,2026-01-10,05,18,23,25,32,05,09
26003,2026-01-07,02,09,11,15,16,02,04
26002,2026-01-05,04,08,15,20,31,07,08
26001,2026-01-03,07,09,23,27,32,02,08
25150,2025-12-31,13,14,15,28,31,01,05
25149,2025-12-29,24,26,30,31,32,05,12
25148,2025-12-27,03,04,14,30,32,08,12
25147,2025-12-24,06,16,21,25,33,07,08
25146,2025-12-22,06,11,13,16,22,02,03
25145,2025-12-20,05,07,20,22,25,04,05
25144,2025-12-17,02,05,13,15,28,05,08
25143,2025-12-15,03,04,18,24,29,07,12
25142,2025-12-13,09,10,14,27,29,02,09
25141,2025-12-10,04,09,24,28,29,02,10
25140,2025-12-08,04,05,13,18,34,02,08
25139,2025-12-06,08,18,22,30,35,01,04
25138,2025-12-03,01,03,19,21,23,07,11
25137,2025-12-01,07,08,09,11,22,05,11
25136,2025-11-29,07,11,15,16,23,09,11
25135,2025-11-26,02,10,16,28,32,01,07
25134,2025-11-24,07,12,18,27,33,09,10
25133,2025-11-22,04,11,23,27,35,07,11
25132,2025-11-19,01,09,10,12,19,06,07
25131,2025-11-17,03,08,25,29,32,09,12
25130,2025-11-15,01,13,16,27,29,02,11
25129,2025-11-12,03,09,14,28,35,02,04
25128,2025-11-10,03,06,26,30,33,11,12
25127,2025-11-08,04,05,19,28,29,05,08
25126,2025-11-05,01,08,18,27,30,06,07
25125,2025-11-03,10,11,13,19,35,04,11
25124,2025-11-01,06,09,14,26,27,08,09
25123,2025-10-29,08,13,24,25,31,04,10
25122,2025-10-27,02,03,06,16,17,04,05
25121,2025-10-25,02,03,08,13,21,07,12
25120,2025-10-22,11,13,22,26,35,02,08
25119,2025-10-20,08,15,27,29,31,01,07
25118,2025-10-18,02,08,09,12,21,04,05
25117,2025-10-15,05,10,18,21,29,05,07
25116,2025-10-13,02,06,16,22,29,08,12
25115,2025-10-11,03,12,14,21,35,01,05
25114,2025-10-08,03,08,09,12,16,01,05
25113,2025-10-06,01,14,18,28,35,02,03
